wavenumber,day1,day2,day3,day4,day5,day6
3999.464111,41.373253,10.343313,56.888222,25.858282,46.544907,98.261475
3998.980713,10.343313,-20.686626,0,36.201595,62.059875,10.343313
3998.497314,51.709156,-15.512747,93.076477,77.563736,77.563736,-5.170916
3998.013672,77.55262,-5.170175,46.531574,67.212273,82.722794,180.956116
3997.530029,56.863773,0,15.508302,87.880379,62.033207,0
3997.046387,82.699097,-10.337387,-20.674774,-25.843468,62.024319,5.168694
3996.562744,36.175671,25.839764,-25.839764,113.694962,113.694962,103.359055
3996.078857,62.00655,5.167212,-15.501637,20.66885,-51.672123,51.672123
3995.594971,-41.331776,20.665888,41.331776,-25.832359,56.831192,5.166472
3995.111084,41.325851,5.165731,51.657318,51.657318,25.828659,67.15451
3994.626953,46.484924,5.164991,15.494974,113.629814,36.154942,25.824957
3994.142822,25.821257,-10.328503,87.792274,25.821257,103.285027,20.657005
3993.658691,-15.490534,-25.817556,15.490534,77.452667,30.981068,46.4716
3993.174561,15.488314,-5.162771,92.929878,41.30217,-67.116028,-5.162771
3992.690186,77.430466,0,-10.324062,36.13422,46.458282,51.620312
3992.205811,77.419373,5.161292,30.967749,-25.806458,46.451622,20.645166
3991.721436,10.321103,20.642206,20.642206,129.013794,10.321103,30.96331
3991.236816,72.237366,5.159812,61.917744,30.958872,61.917744,30.958872
3990.752197,30.954435,-10.318145,-10.318145,51.590725,36.113506,77.386086
3990.267578,5.158333,36.10833,20.633331,10.316666,46.424995,46.424995
3989.782959,92.836685,-5.157594,82.5215,36.103153,82.5215,51.575935
3989.298096,0,-15.470563,82.509666,15.470563,51.568542,72.195961
3988.813232,97.966187,-15.468345,123.746758,113.434525,20.62446,92.810066
3988.328369,72.175262,-25.776878,56.709133,87.641388,25.776878,10.310751
3987.843262,87.628822,10.309273,0,-5.154636,72.164909,-67.010277
3987.358154,103.07795,-10.307796,10.307796,0,36.077282,46.385078
3986.873047,0,-10.306317,103.063171,139.135284,77.297379,118.522652
3986.387939,10.304839,5.15242,72.133881,139.115341,-15.457259,41.219357
3985.902588,46.365128,-25.758406,61.820171,92.730255,-61.820171,20.606724
3985.417236,41.207539,-15.452826,108.169792,51.509422,77.264137,30.905653
3984.931885,133.905289,20.600815,5.150204,123.604889,92.703667,51.502037
3984.446289,30.896791,5.149465,-15.448396,-20.59786,10.29893,87.540909
3983.960693,36.041088,10.297454,-51.487267,-5.148727,72.082176,36.041088
3983.475098,51.479885,5.147988,41.183907,25.739943,-25.739943,15.443965
3982.989502,30.883501,-5.14725,-15.441751,-66.914253,108.092247,41.178001
3982.503662,51.465118,-25.732559,113.223259,61.758141,102.930237,0
3982.017822,51.457737,5.145774,-82.332382,56.603512,-5.145774,92.623924
3981.531982,56.59539,20.580143,77.175537,82.320572,56.59539,51.450356
3981.045898,51.442978,-10.288595,15.432893,5.144298,97.741653,20.57719
3980.559814,87.440514,25.717798,56.579159,102.871193,-10.28712,36.004917
3980.07373,41.142574,-20.571287,87.427971,87.427971,15.428466,51.428219
3979.587646,15.426252,15.426252,77.131264,-25.710421,77.131264,71.989182
3979.101318,51.413467,0,92.544235,61.696159,41.130772,35.989426
3978.61499,41.12487,5.140609,35.984264,10.281218,51.40609,10.281218
3978.128662,10.279743,-10.279743,87.377815,35.979099,25.699358,77.098076
3977.64209,-20.556536,30.834805,92.504417,30.834805,35.973938,71.947876
3977.155762,5.138397,35.968777,46.245571,15.415191,102.767937,41.107174
3976.668945,35.963615,0,41.101276,123.303825,77.064896,20.550638
3976.182373,-5.136922,-5.136922,-5.136922,-10.273845,56.506145,123.28614
3975.695557,87.315147,10.27237,107.859894,15.408556,46.225666,92.451332
3975.20874,25.677242,-25.677242,71.896278,107.844414,41.083588,-41.083588
3974.721924,71.885956,5.134711,77.020668,51.347115,-30.808268,15.404134
3974.235107,66.741669,10.267949,51.339745,97.545517,71.875641,56.473721
3973.748047,-10.266476,5.133238,35.932663,56.465614,71.865326,0
3973.260986,164.240036,-15.397503,41.060009,87.252518,61.590012,-66.722511
3972.773682,-25.658823,10.263529,-20.527058,25.658823,15.395293,76.976463
3972.286377,82.096443,15.393084,56.441307,30.786167,0,46.179253
3971.799072,76.954369,5.130291,20.521166,92.345245,46.172623,-51.302914
3971.311768,71.813774,5.129555,66.684219,46.165997,20.518221,5.129555
3970.824463,102.576378,-5.128819,5.128819,-20.515276,87.189919,35.901733
3970.336914,0,0,66.665077,41.024662,82.049324,66.665077
3969.849365,-25.636732,20.509386,41.018772,-25.636732,66.655502,35.891426
3969.361572,-20.506441,0,30.759663,-25.633053,35.886272,46.139496
3968.874023,46.13287,-5.125875,123.020988,92.265739,-20.503498,82.013992
3968.38623,66.626801,-5.125139,30.750832,153.754166,92.252495,35.875969
3967.898193,10.248806,40.995224,-30.746416,122.985664,40.995224,81.990448
3967.4104,46.113003,-10.247334,40.989338,-15.371001,76.855003,51.236671
3966.922363,66.598106,10.245863,117.827423,97.335701,-5.122931,-30.737589
3966.434326,56.344154,10.244391,20.488783,35.85537,122.932701,40.977566
3965.946045,92.186287,5.12146,122.915047,56.336063,117.793587,10.242921
3965.458008,71.690147,10.24145,20.482901,92.17305,-10.24145,92.17305
3964.969727,71.679855,-20.479959,35.839928,46.079906,-40.959919,71.679855
3964.481201,76.788818,5.119255,56.311798,66.550308,51.192543,56.311798
3963.99292,30.711115,5.118519,107.488907,35.829636,5.118519,56.303711
3963.504395,71.648979,10.235568,35.82449,46.060059,76.766762,97.2379
3963.015869,46.053444,-5.117049,20.468197,71.638687,92.106888,35.819344
3962.5271,25.581572,5.116314,97.209969,40.930515,51.163143,5.116314
3962.03833,-25.577898,0,81.849274,25.577898,81.849274,112.542747
3961.549561,10.22969,10.22969,-40.918758,56.26329,127.871117,46.033604
3961.060791,51.141098,0,61.36932,97.168091,-15.34233,-10.22822
3960.572021,40.907001,20.453501,56.247128,56.247128,-15.340126,35.793629
3960.083008,61.351692,-35.788486,20.450563,97.140175,148.266586,66.464333
3959.593994,15.335719,-10.223813,-20.447626,61.342876,-15.335719,107.350037
3959.104736,51.111721,5.111172,5.111172,102.223442,15.333516,-40.889378
3958.615479,183.975754,-10.220876,30.662626,-45.993938,56.214817,25.552189
3958.126221,66.426147,0,102.194069,10.219407,71.535851,40.877628
3957.636963,20.435879,5.10897,-20.435879,45.980724,15.326908,71.525574
3957.147461,-35.757648,-20.432941,-71.515297,66.407059,56.19059,81.731766
3956.657959,20.430006,-25.537508,25.537508,45.967514,56.182514,122.580032
3956.168457,40.854141,-5.106768,5.106768,117.455658,51.067677,-5.106768
3955.678955,25.530169,15.318101,45.954304,71.484474,20.424135,40.84827
3955.189209,-10.2106,10.2106,10.2106,91.895401,25.526501,102.106003
3954.699463,30.627399,20.418266,30.627399,-10.209133,76.568497,25.522833
3954.209717,51.03833,-5.103833,5.103833,-10.207665,61.245995,86.76516
3953.719727,30.618597,15.309299,51.030994,71.44339,35.721695,35.721695
3953.229736,35.71656,-5.102366,-40.818928,66.330757,25.511829,-25.511829
3952.739746,-40.813061,10.203265,61.219593,66.321228,71.422859,30.609797
3952.249512,127.522484,-5.100899,40.807194,51.008995,71.41259,-5.100899
3951.759521,66.302162,15.300499,56.10183,-5.100166,56.10183,-5.100166
3951.269287,-20.397732,0,25.497166,122.386398,-10.198866,20.397732
3950.778809,71.381805,-5.0987,-20.3948,35.690903,40.7896,81.579201
3950.288574,20.391869,-5.097967,45.881706,101.959343,107.057312,30.587803
3949.798096,71.361282,5.097234,50.972343,0,152.917038,56.06958
3949.307373,96.833534,5.096502,61.15802,66.254524,50.965015,40.772015
3948.816895,86.628075,0,71.340767,35.670383,117.202682,122.298454
3948.326172,91.710655,20.380146,-30.570219,96.805695,15.28511,91.710655
3947.835449,45.848736,-5.094304,117.168991,61.131645,66.225952,66.225952
3947.344727,15.280714,20.374285,25.467857,56.029285,66.216431,30.561428
3946.85376,86.578262,5.092839,81.485428,127.320976,0,50.928391
3946.362793,40.736855,20.368427,86.565811,45.82896,61.105282,112.026352
3945.871826,76.370621,-5.091374,20.365498,25.456873,-15.274123,50.913746
3945.380615,61.087708,0,50.906425,55.997066,91.631561,86.540924
3944.889404,-15.269732,10.179821,40.719284,35.629372,61.078926,-20.359642
3944.398193,91.605209,15.267535,137.407822,71.248497,15.267535,76.337677
3943.906982,71.238251,10.176893,45.796021,20.353786,30.53068,-25.442232
3943.415527,96.66658,20.350859,30.526289,147.543732,101.754295,30.526289
3942.924072,25.434916,20.347933,66.130775,-5.086983,10.173966,66.130775
3942.432617,111.89753,35.60376,55.948765,86.46627,30.517508,45.77626
3941.940918,61.026237,5.08552,20.342079,10.17104,106.795914,5.08552
3941.449463,0,0,35.593517,0,45.763096,66.102249
3940.95752,76.260857,-10.168114,-15.252171,25.420284,142.353592,50.840569
3940.46582,86.416534,10.166651,66.083229,81.333206,71.166557,86.416534
3939.973877,66.073723,20.330378,45.743347,101.651886,162.643021,5.082594
3939.481934,96.555397,10.163726,-25.409315,121.964714,10.163726,76.227943
3938.98999,91.460373,25.405661,81.298111,71.135849,15.243396,0
3938.497803,35.562809,0,-45.72361,30.482407,-20.321604,0
3938.005859,71.115379,15.23901,20.31868,10.15934,40.63736,106.673073
3937.513428,66.026207,-15.236817,0,35.552574,35.552574,-45.710453
3937.02124,5.078208,0,76.173126,40.625668,76.173126,-10.156417
3936.528809,35.542343,0,10.154956,101.549553,60.929733,86.317123
3936.036377,55.844219,-5.076747,-55.844219,20.306988,20.306988,10.153494
3935.543945,35.532116,5.076016,-30.4561,45.684151,30.4561,101.520332
3935.05127,15.225859,-10.150573,30.451717,65.978722,5.075286,91.355148
3934.558594,111.640228,10.149112,81.192894,40.596447,25.37278,-15.223667
3934.065918,65.959732,10.147651,76.107384,0,40.590603,60.885906
3933.573242,20.292381,-15.219286,71.023331,45.657856,45.657856,-55.804047
3933.080322,55.796017,5.072365,25.361826,10.144731,40.578922,86.230209
3932.587402,20.286541,-10.14327,81.146164,25.358175,-10.14327,5.071635
3932.094238,10.14181,-5.070905,-5.070905,45.638145,20.283621,25.354527
3931.601318,-10.14035,15.210526,-5.070175,-25.350876,30.421051,-30.421051
3931.108154,45.625008,15.208336,15.208336,131.805588,96.319466,65.902794
3930.61499,65.893303,-10.137431,25.343578,91.236885,25.343578,65.893303
3930.121582,86.155762,15.203958,-25.33993,15.203958,35.475903,50.679859
3929.628174,-5.067256,5.067256,20.269026,20.269026,152.0177,101.345131
3929.134766,45.598743,15.199581,-70.931374,75.997902,91.197487,116.530121
3928.641357,45.592178,-10.131595,-45.592178,60.78957,50.657974,70.921165
3928.147705,35.455479,-5.065068,75.976021,116.496567,25.32534,75.976021
3927.654053,65.836403,-10.128677,35.450371,45.579048,55.707729,106.35112
3927.1604,35.445267,0,35.445267,96.208588,25.318048,15.190829
3926.666504,25.314404,15.188642,35.440163,55.691685,60.754566,30.377283
3926.172607,55.683666,20.248606,-40.497211,35.435062,75.932274,15.186455
3925.678711,35.429958,0,10.122846,86.044182,80.982765,70.859917
3925.184814,15.182081,-10.121387,-30.364162,35.424858,80.9711,-15.182081
3924.690674,50.599651,-15.179894,55.659615,65.779541,121.439156,40.479721
3924.196533,60.710835,10.118472,0,75.888542,-15.177709,15.177709
3923.702393,131.521194,-5.058507,-25.292538,60.702091,15.175523,-55.643585
3923.208008,50.577789,-10.115559,-60.693348,35.404453,10.115559,35.404453
3922.713623,60.684608,-15.171152,0,106.198059,40.456406,55.627556
3922.219238,0,10.112644,15.168966,40.450577,60.675865,-5.056322
3921.724609,30.333563,-10.111188,70.778313,40.444752,65.722717,75.833908
3921.230225,40.438927,10.109732,40.438927,20.219463,5.054866,40.438927
3920.735596,20.216551,-5.054138,25.270687,40.433102,-30.324825,25.270687
3920.240723,40.427277,30.320457,35.373867,75.80114,-65.694321,55.587505
3919.746094,50.526814,10.105363,45.474133,0,-20.210726,0
3919.251221,65.675392,5.051953,50.519535,126.298836,131.350784,-30.311722
3918.756104,35.358582,0,-30.307354,85.870834,60.614708,-15.153677
3918.26123,70.70697,15.151494,55.555477,-15.151494,15.151494,35.353485
3917.766113,35.348392,5.04977,80.796326,90.895866,-40.398163,90.895866
3917.270996,50.490425,-5.049043,70.6866,0,50.490425,80.784683
3916.775879,55.531467,-15.144945,55.531467,80.773041,45.434837,85.821358
3916.280518,65.618637,-5.047588,80.761406,25.237938,45.428288,5.047588
3915.785156,35.328022,15.140581,-25.234301,30.281162,70.656044,45.421741
3915.289795,111.014923,15.138399,25.230665,50.46133,111.014923,75.691994
3914.794189,65.590279,10.090812,55.499462,55.499462,45.408653,-25.22703
3914.298584,30.268072,-5.044679,60.536144,45.402107,30.268072,75.670181
3913.802979,95.835083,10.087903,151.318542,100.879036,10.087903,121.05484
3913.307373,50.432247,5.043225,40.345798,50.432247,115.994164,55.475471
3912.811523,60.509972,10.084995,0,35.297485,25.212488,-20.169991
3912.315674,-5.041771,0,95.793648,5.041771,80.668335,65.543022
3911.819824,60.492531,15.123133,20.164177,-20.164177,65.533577,45.369396
3911.32373,35.282223,-5.040318,60.48381,40.32254,110.886986,40.32254
